name;date;identification;description;x;y
Schiehart;2014-01-08;76402;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-02;76019;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-14;76752;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-20;77077;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-02-03;78100;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-10;79617;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-14;80410;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-02-17;80551;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-20;81445;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-28;82753;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-05;83988;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-05;84098;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-19;87050;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-01;89751;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-15;92442;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-22;93209;"Straatverlichting; OV 1 lamp stuk";4.401161;51.922029
Schiehart;2014-04-30;94842;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-05-13;96691;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-05-26;98871;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-07-09;106125;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-07-16;107434;"Op bestrating en in het groen; Overlast van zwerfvuil op verharding";4.401161;51.922029
Schiehart;2014-07-22;108340;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-07-29;109315;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-07-30;109612;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-09-08;115271;"Op bestrating en in het groen; Overlast van zwerfvuil in beplanting";4.401161;51.922029
Schiehart;2014-12-23;130718;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-12-26;130891;"Gedrag personen; hinderlijk gedrag";4.401161;51.922029
Schiehart;2014-12-30;131190;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2015-01-07;132125;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-07;132138;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-07;132166;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-07;132199;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-08;132325;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-08;132342;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-09;132493;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-12;132709;"Graffiti; Graffiti op objecten/muren";4.401161;51.922029
Schiehart;2015-01-12;132729;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-12;132737;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-12;132834;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-14;133269;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-15;133481;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-16;133691;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-19;133922;"Riolering stankoverlast";4.401161;51.922029
Schiehart;2015-01-22;134511;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-22;134568;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-26;134863;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-26;134953;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-01-26;135032;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-02-06;136728;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-02-06;136754;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-02-17;138184;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-02-24;139239;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2015-02-24;139312;"Dumping; Dumping grofvuil";4.401161;51.922029
Schiehart;2015-03-10;141505;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-03-11;141722;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-03-19;143038;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-03-30;144794;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-03-30;144825;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2015-03-31;145109;"Op bestrating en in het groen; Glasscherven op openbaar gebied";4.401161;51.922029
Schiehart;2015-04-07;145957;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2015-06-03;154945;"WC Huisvuil met pas; WC HV MP Trommel geblokkeerd";4.398885;51.921266
Schiehart;2014-03-31;89395;"Op bestrating en in het groen; Overlast van zwerfvuil op verharding";4.398885;51.921266
Schiehart;2014-04-03;90320;"WC Huisvuil met pas; WC HV MP Pasje stuk";4.398885;51.921266
Schiehart;2014-04-04;90575;"WC Huisvuil met pas; WC HV MP Pasje stuk";4.398885;51.921266
Schiehart;2014-04-10;91650;"Straatverlichting; OV 1 lamp stuk";4.398885;51.921266
Schiehart;2014-04-24;93912;"Overig";4.398885;51.921266
Schiehart;2014-05-07;95759;"Gedrag personen; hanggroep";4.398885;51.921266
Schiehart;2014-05-21;98150;"Slecht wegdek";4.398885;51.921266
Schiehart;2014-05-21;98155;"Slecht wegdek";4.398885;51.921266
Schiehart;2014-06-07;100842;"Losse stoeptegel";4.398885;51.921266
Schiehart;2014-06-10;100946;"Losse stoeptegel";4.398885;51.921266
Schiehart;2014-08-21;112616;"Parkeerautomaten; Buiten werking";4.398885;51.921266
Schiehart;2014-09-08;115203;"Wijkcontainers / AAP Kunststof; WC Kunststof Volle containers";4.398885;51.921266
Schiehart;2014-09-08;115204;"Op bestrating en in het groen; Overlast van zwerfvuil op verharding";4.398885;51.921266
Schiehart;2014-10-04;119612;"Zwerfvuil op straat";4.398885;51.921266
Schiehart;2014-10-06;119658;"Zwerfvuil op straat";4.398885;51.921266
Schiehart;2014-12-22;130555;"WC Huisvuil met pas; WC HV MP Trommel geblokkeerd";4.398885;51.921266
Schiehart;2015-02-08;136884;"Slecht wegdek";4.398885;51.921266
Schiehart;2015-02-24;139319;"Op bestrating en in het groen; Overlast van zwerfvuil op verharding";4.398885;51.921266
