name;date;identification;description;x;y
Schiehart;2014-01-08;76402;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-02;76019;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-14;76752;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-01-20;77077;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-02-03;78100;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-10;79617;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-14;80410;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-02-17;80551;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-20;81445;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-02-28;82753;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-05;83988;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-05;84098;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-03-19;87050;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-01;89751;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-15;92442;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-04-22;93209;"Straatverlichting; OV 1 lamp stuk";4.401161;51.922029
Schiehart;2014-04-30;94842;"Parkeerautomaten; Buiten werking";4.401161;51.922029
Schiehart;2014-05-13;96691;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-05-26;98871;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
Schiehart;2014-07-09;106125;"Grofvuil; GV Onjuist aangeboden";4.401161;51.922029
